#Unit,Date,PageNum,PageID,Place1,Place2,Place3,activity,count,Place1_Geo,Place2_Geo,Place3_Geo,Location,longitude,latitude,name
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-05-17,264,AWD0000mzl,Lapugnoy,Chocques,,domestic:parades,5.0,"[2.5341999999999998, 50.520400000000002, 'Lapugnoy']","[2.5696056999999999, 50.5391865, 'Chocques']",,"[2.5341999999999998, 50.520400000000002, 'Lapugnoy']",2.5342,50.5204,Lapugnoy
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-05-18,265,AWD0000myj,Chocques,Labeuvriere,England,domestic:parades,10.0,"[2.57193, 50.540840000000003, 'Chocques']","[2.5631102000000001, 50.520375799999997, 'Labeuvrière']","[-0.1398488, 50.832703000000002, 'New England Quarter']","[2.57193, 50.540840000000003, 'Chocques']",2.57193,50.54084,Chocques
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-05-19,265,AWD0000myj,Chocques,England,,domestic:parades,7.0,"[2.5696056999999999, 50.5391865, 'Chocques']","[-0.1398488, 50.832703000000002, 'New England Quarter']",,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-05-20,265,AWD0000myj,Hingette,Chocques,,domestic:parades,9.0,,"[2.5696056999999999, 50.5391865, 'Chocques']",,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-06-28,275,AWD0000myi,Floringhem,Chocques,,domestic:parades,8.0,"[2.4257333999999999, 50.496938200000002, 'Floringhem']","[2.5696056999999999, 50.5391865, 'Chocques']",,"[2.4257333999999999, 50.496938200000002, 'Floringhem']",2.4257334,50.4969382,Floringhem
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-06-29,276,AWD0000my7,Chocques,Bois-des-Dames,Paris,domestic:parades,2.0,"[2.5696056999999999, 50.5391865, 'Chocques']","[4.8691925000000005, 50.109878100000003, 'Bois des Dames']","[2.3514992000000001, 48.856610100000005, 'Paris']","[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-07-01,270 271 272 278,AWD0000n1d AWD0000mvw AWD0000n0i AWD0000n1b,Hinges,Brasserie,Chocques,domestic:parades,10.0,"[2.6219130000000002, 50.565460600000002, 'Hinges']","[0.70311959999999996, 49.566356599999999, 'La Brasserie']","[2.5696056999999999, 50.5391865, 'Chocques']","[2.6219130000000002, 50.565460600000002, 'Hinges']",2.621913,50.5654606,Hinges
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-07-12,281,AWD0000mvi,Chocques,,,domestic:parades,1.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-07-13,281 282,AWD0000mvi AWD0000my0,Chocques,Bethune,,domestic:parades,10.0,"[2.5696056999999999, 50.5391865, 'Chocques']","[2.6333299999999999, 50.533329999999999, 'Bethune']",,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-07-14,282,AWD0000my0,Bethune,Divisional Reserve,,domestic:parades,1.0,"[2.6333299999999999, 50.533329999999999, 'Bethune']",,,"[2.6333299999999999, 50.533329999999999, 'Bethune']",2.63333,50.53333,Bethune
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-07-15,282,AWD0000my0,Chocques,Divisional Reserve,,domestic:parades,7.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-07-16,282,AWD0000my0,Chocques,,,domestic:parades,5.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-07-17,283,AWD0000mvu,Divisional Reserve,Chocques,,domestic:parades,6.0,,"[2.5696056999999999, 50.5391865, 'Chocques']",,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-07-30,285,AWD0000my5,Divisional Reserve,Front Line,Chocques,domestic:parades,1.0,,,"[2.5696056999999999, 50.5391865, 'Chocques']","[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-08-03,287,AWD0000mxo,Bethune,,,domestic:parades,1.0,"[2.6333299999999999, 50.533329999999999, 'Bethune']",,,"[2.6333299999999999, 50.533329999999999, 'Bethune']",2.63333,50.53333,Bethune
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-08-05,287,AWD0000mxo,Lozingham,,,domestic:parades,2.0,"[2.4996722999999998, 50.517819399999993, 'Lozinghem']",,,"[2.4996722999999998, 50.517819399999993, 'Lozinghem']",2.4996723,50.51781939999999,Lozinghem
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-08-07,287 288,AWD0000mxo AWD0000n0n,Lozingham,,,domestic:parades,2.0,"[2.4996722999999998, 50.517819399999993, 'Lozinghem']",,,"[2.4996722999999998, 50.517819399999993, 'Lozinghem']",2.4996723,50.51781939999999,Lozinghem
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-08-10,288,AWD0000n0n,Ames,Bellamy,,domestic:parades,4.0,"[2.4086536000000001, 50.536715000000001, 'Ames']","[-7.4833299999999996, 54.666670000000003, 'Bellway']",,"[2.4086536000000001, 50.536715000000001, 'Ames']",2.4086536,50.536715,Ames
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-08-11,288,AWD0000n0n,Ames,,,domestic:parades,1.0,"[2.4086536000000001, 50.536715000000001, 'Ames']",,,"[2.4086536000000001, 50.536715000000001, 'Ames']",2.4086536,50.536715,Ames
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-08-14,289,AWD0000mwt,Ames,Warlincourt,Pernes,domestic:parades,3.0,"[2.4086536000000001, 50.536715000000001, 'Ames']","[2.5053131, 50.174255500000001, 'Warlincourt-lès-Pas']","[2.4143727000000004, 50.485205799999996, 'Pernes']","[2.4086536000000001, 50.536715000000001, 'Ames']",2.4086536,50.536715,Ames
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-08-19,289 290,AWD0000mwt AWD0000n1g,Beaudricourt,,,domestic:parades,3.0,"[2.4084852999999997, 50.248495299999995, 'Beaudricourt']",,,"[2.4084852999999997, 50.248495299999995, 'Beaudricourt']",2.4084852999999997,50.248495299999995,Beaudricourt
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1918-08-20,290,AWD0000n1g,Humber Camp,Berles Au Bois,,domestic:parades,3.0,"[-1.7751629, 53.614806700000003, 'Site of WWII POW camp']","[2.6275255, 50.199002399999998, 'Berles-au-Bois']",,"[-1.7751629, 53.614806700000003, 'Site of WWII POW camp']",-1.7751629,53.6148067,Site of WWII POW camp
